llm_model,model_family,param_count,prompt_id,prompt_technique,prompt_sub_technique,question_columns,provider,validated,task_id,file_name,f1_macro,f1_micro,f1_weighted,accuracy,invalid_rate,file_name_complete
qwen3-32b-instruct,Qwen,32.0,06,cot,cot-base,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED,0.4919164535904625,0.6688311688311688,0.6389139194805994,0.6688311688311688,0.0,qwen3-32b-instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED.csv
gpt-5,GPT,,01,zs,re2,Q,openai,VALIDATED,t1,gpt-5_01_t1_zs_re2_Q_openai_VALIDATED,0.6274864242982052,0.6818181818181818,0.6953918476062977,0.6818181818181818,0.0,gpt-5_01_t1_zs_re2_Q_openai_VALIDATED.csv
gpt-5,GPT,,04,fs,base-27-shot,Q,openai,VALIDATED,t1,gpt-5_04_t1_fs_base-27-shot_Q_openai_VALIDATED,0.6234018956532045,0.6688311688311688,0.6823668171835712,0.6688311688311688,0.0,gpt-5_04_t1_fs_base-27-shot_Q_openai_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,02,fs,base-3-shot,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED,0.5106023079072398,0.6525974025974026,0.626703168703461,0.6525974025974026,0.0,llama-3.3-70b-Instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,04,fs,base-27-shot,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED,0.5940980551625785,0.685064935064935,0.6871922475381357,0.685064935064935,0.0,llama-3.3-70b-Instruct_04_t1_fs_base-27-shot_Q_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,03,fs,base-9-shot,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED,0.6061556329849013,0.6883116883116883,0.687536766369519,0.6883116883116883,0.0,qwen3-235b-instruct_03_t1_fs_base-9-shot_Q_nebius_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,02,fs,base-3-shot,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_02_t1_fs_base-3-shot_Q_nscale_VALIDATED,0.5050281345183829,0.6753246753246753,0.644650152420275,0.6753246753246753,0.0,mixtral-8x22b-Instruct_02_t1_fs_base-3-shot_Q_nscale_VALIDATED.csv
llama-3.1-nemotron-253b,LLaMA,253.0,04,fs,base-27-shot,IQ,nebius,VALIDATED,t1,llama-3.1-nemotron-253b_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED,0.43511650635946014,0.474025974025974,0.5164644538348817,0.474025974025974,0.0,llama-3.1-nemotron-253b_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,06,cot,cot-base,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED,0.42426156844085866,0.5422077922077922,0.549592394082009,0.5422077922077922,0.0,llama-3.3-70b-Instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED.csv
gpt-5,GPT,,00,zs,base,Q,openai,VALIDATED,t1,gpt-5_00_t1_zs_base_Q_openai_VALIDATED,0.5914566248058994,0.6493506493506493,0.6666018431680795,0.6493506493506493,0.0,gpt-5_00_t1_zs_base_Q_openai_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,06,cot,cot-base,Q,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_06_t1_cot_cot-base_Q_nscale_VALIDATED,0.4990123416481651,0.6233766233766234,0.6250853878718905,0.6233766233766234,0.0,mixtral-8x22b-Instruct_06_t1_cot_cot-base_Q_nscale_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,02,fs,base-3-shot,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED,0.472307083373192,0.6753246753246753,0.6358278739084537,0.6753246753246753,0.0,qwen3-32b-instruct_02_t1_fs_base-3-shot_Q_nebius_VALIDATED.csv
gpt-5,GPT,,06,cot,cot-base,IQ,openai,VALIDATED,t1,gpt-5_06_t1_cot_cot-base_IQ_openai_VALIDATED,0.6208966936014083,0.6688311688311688,0.6800755489341098,0.6688311688311688,0.0,gpt-5_06_t1_cot_cot-base_IQ_openai_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,04,fs,base-27-shot,IQ,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED,0.6248375637781806,0.7175324675324676,0.7148668334924269,0.7175324675324676,0.0,llama-3.3-70b-Instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,04,fs,base-27-shot,IQ,nebius,VALIDATED,t1,qwen3-235b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED,0.6719221169375332,0.7435064935064936,0.7413414413120771,0.7435064935064936,0.0,qwen3-235b-instruct_04_t1_fs_base-27-shot_IQ_nebius_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,00,zs,base,Q,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_00_t1_zs_base_Q_nebius_VALIDATED,0.4153583215464403,0.5422077922077922,0.5505635895222175,0.5422077922077922,0.0,llama-3.3-70b-Instruct_00_t1_zs_base_Q_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,03,fs,base-9-shot,IQ,nebius,VALIDATED,t1,qwen3-235b-instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED,0.656469603835086,0.7402597402597403,0.7350405920611982,0.7402597402597403,0.0,qwen3-235b-instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED.csv
qwen3-235b-instruct,Qwen,235.0,06,cot,cot-base,Q,nebius,VALIDATED,t1,qwen3-235b-instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED,0.5273433861669156,0.6688311688311688,0.6397014557442365,0.6688311688311688,0.0,qwen3-235b-instruct_06_t1_cot_cot-base_Q_nebius_VALIDATED.csv
qwen3-80b-instruct,Qwen,80.0,03,fs,base-9-shot,Q,novita,VALIDATED,t1,qwen3-80b-instruct_03_t1_fs_base-9-shot_Q_novita_VALIDATED,0.5538526155021001,0.6331168831168831,0.64284568810342,0.6331168831168831,0.0,qwen3-80b-instruct_03_t1_fs_base-9-shot_Q_novita_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,01,zs,re2,Q,nebius,VALIDATED,t1,qwen3-32b-instruct_01_t1_zs_re2_Q_nebius_VALIDATED,0.5133510699971483,0.685064935064935,0.6674066032302769,0.685064935064935,0.0,qwen3-32b-instruct_01_t1_zs_re2_Q_nebius_VALIDATED.csv
gpt-5,GPT,,00,zs,base,IQ,openai,VALIDATED,t1,gpt-5_00_t1_zs_base_IQ_openai_VALIDATED,0.625375390741821,0.6785714285714286,0.6916298528737509,0.6785714285714286,0.003246753246753247,gpt-5_00_t1_zs_base_IQ_openai_VALIDATED.csv
llama-3.3-70b-Instruct,LLaMA,70.0,03,fs,base-9-shot,IQ,nebius,VALIDATED,t1,llama-3.3-70b-Instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED,0.5222187018303523,0.6103896103896104,0.6178016109613638,0.6103896103896104,0.0,llama-3.3-70b-Instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED.csv
gpt-5,GPT,,03,fs,base-9-shot,IQ,openai,VALIDATED,t1,gpt-5_03_t1_fs_base-9-shot_IQ_openai_VALIDATED,0.6133614951356887,0.6493506493506493,0.6616172172681387,0.6493506493506493,0.0,gpt-5_03_t1_fs_base-9-shot_IQ_openai_VALIDATED.csv
mixtral-8x22b-Instruct,Mixtral,176.0,03,fs,base-9-shot,IQ,nscale,VALIDATED,t1,mixtral-8x22b-Instruct_03_t1_fs_base-9-shot_IQ_nscale_VALIDATED,0.48216889019564607,0.5324675324675324,0.582577241201226,0.5324675324675324,0.0,mixtral-8x22b-Instruct_03_t1_fs_base-9-shot_IQ_nscale_VALIDATED.csv
qwen3-32b-instruct,Qwen,32.0,03,fs,base-9-shot,IQ,nebius,VALIDATED,t1,qwen3-32b-instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED,0.5142787515051893,0.698051948051948,0.6633861720668139,0.698051948051948,0.0,qwen3-32b-instruct_03_t1_fs_base-9-shot_IQ_nebius_VALIDATED.csv
